goos: darwin
goarch: arm64
pkg: github.com/orneryd/nornicdb/pkg/observability
cpu: Apple M1 Max
BenchmarkObserve_HotEmbed/embed_cache_hits_inc-10                              	173531138	         6.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_request_duration_bound-10                        	47497632	        25.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_request_duration_bound-10                        	47835842	        25.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_request_duration_bound-10                        	47161932	        25.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_request_duration_bound_tenant-10                 	46351581	        25.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_request_duration_bound_tenant-10                 	45297405	        25.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_request_duration_bound_tenant-10                 	46171826	        25.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_requests_counter_bound-10                        	173399796	         6.929 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_requests_counter_bound-10                        	172845720	         6.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotHTTP/http_requests_counter_bound-10                        	173202650	         6.948 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotMVCC/mvcc_pressure_band_set-10                             	583740514	         2.079 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotMVCC/mvcc_pressure_band_set-10                             	588052608	         2.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotMVCC/mvcc_pressure_band_set-10                             	585244405	         2.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotMVCC/mvcc_update_band_full-10                              	10089519	       120.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotMVCC/mvcc_update_band_full-10                              	10147486	       119.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotMVCC/mvcc_update_band_full-10                              	 9983011	       123.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_lag_bytes_set-10                   	42299443	        28.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_lag_bytes_set-10                   	42775665	        28.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_lag_bytes_set-10                   	42945460	        28.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_apply_duration_bound-10            	46514257	        25.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_apply_duration_bound-10            	46312748	        25.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_apply_duration_bound-10            	46361432	        25.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_role_set-10                        	588230968	         2.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_role_set-10                        	587550178	         2.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_role_set-10                        	577367782	         2.074 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_leader_changes_inc-10              	172016149	         6.989 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_leader_changes_inc-10              	170591554	         6.946 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotReplication/replication_leader_changes_inc-10              	173128184	         6.977 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_duration_bound-10                            	47470701	        25.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_duration_bound-10                            	47385878	        25.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_duration_bound-10                            	48022569	        25.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_requests_inc-10                              	173050714	         6.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_requests_inc-10                              	171576024	         6.971 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_requests_inc-10                              	172732226	         6.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_candidates_observe-10                        	98119377	        12.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_candidates_observe-10                        	98468276	        12.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_candidates_observe-10                        	96257971	        12.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_index_size_set-10                            	561481984	         2.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_index_size_set-10                            	571529724	         2.144 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotSearch/search_index_size_set-10                            	573960375	         2.082 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_op_duration_bound_get-10                   	46936036	        25.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_op_duration_bound_get-10                   	47396562	        25.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_op_duration_bound_get-10                   	47541620	        25.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_index_rebuild_inc-10                       	172786405	         6.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_index_rebuild_inc-10                       	170809062	         6.942 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_index_rebuild_inc-10                       	173308774	         6.970 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_bytes_set-10                               	574203546	         2.100 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_bytes_set-10                               	577626711	         2.072 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_HotStorage/storage_bytes_set-10                               	571545150	         2.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/cold_no_span-10                                           	22279416	        54.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/cold_no_span-10                                           	22057876	        54.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/cold_no_span-10                                           	22057099	        54.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/hot_no_span-10                                            	46431392	        25.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/hot_no_span-10                                            	46454983	        25.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/hot_no_span-10                                            	47272165	        25.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkObserve_Hot/hot_with_span-10                                          	 2301386	       519.2 ns/op	     744 B/op	      14 allocs/op
BenchmarkObserve_Hot/hot_with_span-10                                          	 2258574	       523.8 ns/op	     744 B/op	      14 allocs/op
BenchmarkObserve_Hot/hot_with_span-10                                          	 2308308	       524.0 ns/op	     744 B/op	      14 allocs/op
PASS
ok  	github.com/orneryd/nornicdb/pkg/observability	167.836s
